industry, emoji
Food Beverage & Tobacco,🍕
Banks, 🏦
Real Estate Management & Development, 🏘️
Media & Entertainment, 📺
Telecommunication Services, 📱
Automobiles & Components, 🚗
Consumer Discretionary Distribution & Retail, 🧴
Consumer Durables & Apparel, 👕
Consumer Services, 🛒
Consumer Staples Distribution & Retail, 🧻
Household & Personal Products, 🧹
Energy, 🛢️
Financial Services, 💸
Insurance, 💰
Health Care Equipment & Services, 🏥
"Pharmaceuticals, Biotechnology&Life Sciences", 💊
Capital Goods, 🏭
Commercial & Professional Services, 📦
Transportation, 🚢
Semiconductors & Semiconductor Equipment, 📱
Software & Services, 💻
Technology Hardware & Equipment, 💾
Materials,🚂
Other, 📎
Utilities, 🔌
