company_name,shares,book value,market value,Gainloss,country,Industry,industry group
CRESUD SACIF Y A,45224,592454.82,227928.96,-364525.86,ARGENTINA,Consumer Staples,"Food, Beverage & Tobacco"
IRSA INVERSIONES Y REPRESENTAC,59997,823111.53,215988.77,-607122.76,ARGENTINA,Real Estate,Real Estate
EVENT HOSPITALITY AND ENTERTAI,75999,703226.41,682002.29,-21224.12,AUSTRALIA,Communication Services,Media & Entertainment
CARSALES.COM LTD,41133,349920.3,520163.12,170242.82,AUSTRALIA,Communication Services,Media & Entertainment
NINE ENTERTAINMENT CO HOLDINGS,342920,594054.77,430351.32,-163703.45,AUSTRALIA,Communication Services,Media & Entertainment
OOH!MEDIA LTD,449855,614524.81,374304.77,-240220.04,AUSTRALIA,Communication Services,Media & Entertainment
SEEK LTD,13914,160678.28,200927.2,40248.92,AUSTRALIA,Communication Services,Media & Entertainment
HT&E LTD,230738,658502.1,177707.03,-480795.07,AUSTRALIA,Communication Services,Media & Entertainment
DOMAIN HOLDINGS AUSTRALIA LTD,79377,221883.02,164296.62,-57586.4,AUSTRALIA,Communication Services,Media & Entertainment
REA GROUP LTD,2129,118591.77,163719.89,45128.12,AUSTRALIA,Communication Services,Media & Entertainment
SOUTHERN CROSS MEDIA GROUP LTD,215122,670294.61,147189.01,-523105.6,AUSTRALIA,Communication Services,Media & Entertainment
IVE GROUP LTD,83805,113191.05,99121.03,-14070.02,AUSTRALIA,Communication Services,Media & Entertainment
SEVEN WEST MEDIA LTD,264246,214292.11,74500.59,-139791.52,AUSTRALIA,Communication Services,Media & Entertainment
ENERO GROUP LTD,34890,68878.31,69577.11,698.8,AUSTRALIA,Communication Services,Media & Entertainment
FRONTIER DIGITAL VENTURES LTD,21039,21778.32,10199.57,-11578.75,AUSTRALIA,Communication Services,Media & Entertainment
CARSALES.COM LTD,1009,12316.54,-,-12316.54,AUSTRALIA,Communication Services,Media & Entertainment
TELSTRA CORP LTD,429094,1198954.12,1136005.98,-62948.14,AUSTRALIA,Communication Services,Telecommunication Services
UNITI GROUP LTD,78546,194154.71,265739.81,71585.1,AUSTRALIA,Communication Services,Telecommunication Services
SUPERLOOP LTD,278795,225284.55,138033.63,-87250.92,AUSTRALIA,Communication Services,Telecommunication Services
AUSSIE BROADBAND LTD,46216,170662.8,105193.23,-65469.57,AUSTRALIA,Communication Services,Telecommunication Services
TPG TELECOM LTD,18558,106906.64,76185.61,-30721.03,AUSTRALIA,Communication Services,Telecommunication Services
MACQUARIE TELECOM GROUP LTD,1162,38035.73,48374.44,10338.71,AUSTRALIA,Communication Services,Telecommunication Services
SPEEDCAST INTERNATIONAL LTD,34296,101853.15,-,-101853.15,AUSTRALIA,Communication Services,Telecommunication Services
ARB CORP LTD,48930,359466.78,950183.22,590716.44,AUSTRALIA,Consumer Discretionary,Automobiles & Components
GUD HOLDINGS LTD,57648,430099.78,316736.76,-113363.02,AUSTRALIA,Consumer Discretionary,Automobiles & Components
PWR HOLDINGS LTD,13794,62014.87,59948.01,-2066.86,AUSTRALIA,Consumer Discretionary,Automobiles & Components
