CRESUD SACIF Y A,"45,224","592,454.82","227,928.96","(364,525.86)",ARGENTINA,Consumer Staples,"Food, Beverage & Tobacco"
IRSA INVERSIONES Y REPRESENTAC,"59,997","823,111.53","215,988.77","(607,122.76)",ARGENTINA,Real Estate,Real Estate
EVENT HOSPITALITY AND ENTERTAI,"75,999","703,226.41","682,002.29","(21,224.12)",AUSTRALIA,Communication Services,Media & Entertainment
CARSALES.COM LTD,"41,133","349,920.30","520,163.12","170,242.82",AUSTRALIA,Communication Services,Media & Entertainment
NINE ENTERTAINMENT CO HOLDINGS,"342,920","594,054.77","430,351.32","(163,703.45)",AUSTRALIA,Communication Services,Media & Entertainment
OOH!MEDIA LTD,"449,855","614,524.81","374,304.77","(240,220.04)",AUSTRALIA,Communication Services,Media & Entertainment
SEEK LTD,"13,914","160,678.28","200,927.20","40,248.92",AUSTRALIA,Communication Services,Media & Entertainment
HT&E LTD,"230,738","658,502.10","177,707.03","(480,795.07)",AUSTRALIA,Communication Services,Media & Entertainment
DOMAIN HOLDINGS AUSTRALIA LTD,"79,377","221,883.02","164,296.62","(57,586.40)",AUSTRALIA,Communication Services,Media & Entertainment
REA GROUP LTD,"2,129","118,591.77","163,719.89","45,128.12",AUSTRALIA,Communication Services,Media & Entertainment
SOUTHERN CROSS MEDIA GROUP LTD,"215,122","670,294.61","147,189.01","(523,105.60)",AUSTRALIA,Communication Services,Media & Entertainment
IVE GROUP LTD,"83,805","113,191.05","99,121.03","(14,070.02)",AUSTRALIA,Communication Services,Media & Entertainment
SEVEN WEST MEDIA LTD,"264,246","214,292.11","74,500.59","(139,791.52)",AUSTRALIA,Communication Services,Media & Entertainment
ENERO GROUP LTD,"34,890","68,878.31","69,577.11",698.80,AUSTRALIA,Communication Services,Media & Entertainment
FRONTIER DIGITAL VENTURES LTD,"21,039","21,778.32","10,199.57","(11,578.75)",AUSTRALIA,Communication Services,Media & Entertainment
CARSALES.COM LTD,"1,009","12,316.54",-,"(12,316.54)",AUSTRALIA,Communication Services,Media & Entertainment
TELSTRA CORP LTD,"429,094","1,198,954.12","1,136,005.98","(62,948.14)",AUSTRALIA,Communication Services,Telecommunication Services
UNITI GROUP LTD,"78,546","194,154.71","265,739.81","71,585.10",AUSTRALIA,Communication Services,Telecommunication Services
SUPERLOOP LTD,"278,795","225,284.55","138,033.63","(87,250.92)",AUSTRALIA,Communication Services,Telecommunication Services
AUSSIE BROADBAND LTD,"46,216","170,662.80","105,193.23","(65,469.57)",AUSTRALIA,Communication Services,Telecommunication Services
TPG TELECOM LTD,"18,558","106,906.64","76,185.61","(30,721.03)",AUSTRALIA,Communication Services,Telecommunication Services
MACQUARIE TELECOM GROUP LTD,"1,162","38,035.73","48,374.44","10,338.71",AUSTRALIA,Communication Services,Telecommunication Services
SPEEDCAST INTERNATIONAL LTD,"34,296","101,853.15",-,"(101,853.15)",AUSTRALIA,Communication Services,Telecommunication Services
ARB CORP LTD,"48,930","359,466.78","950,183.22","590,716.44",AUSTRALIA,Consumer Discretionary,Automobiles & Components
